             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
             62441    normal  arctic4   hdj002  R    4:21:09      4 c55-[1-2,4-5]
             62732 multinode  mini.sh    thinf  R    2:16:50      3 cf100-[55,57-58]
             62733 multinode  mini.sh    thinf  R    2:16:50      3 c38-5,c49-8,cf100-61
             62729 multinode  mini.sh    thinf  R    2:16:53      3 cf100-[29,32,40]
             62730 multinode  mini.sh    thinf  R    2:16:53      3 cf100-[41-42,46]
             62731 multinode  mini.sh    thinf  R    2:16:53      3 cf100-[48-49,54]
             62707 multinode  mini.sh    thinf  R    2:16:56      3 c38-[2-4]
             62709 multinode  mini.sh    thinf  R    2:16:56      3 c46-8,c47-8,c48-7
             62710 multinode  mini.sh    thinf  R    2:16:56      3 c49-[5-7]
             62711 multinode  mini.sh    thinf  R    2:16:56      3 c39-[3-4],c40-1
             62712 multinode  mini.sh    thinf  R    2:16:56      3 c40-[3,5-6]
             62713 multinode  mini.sh    thinf  R    2:16:56      3 c40-[7-8],c41-1
